"","sector","value"
"1","C01",0.449688584
"2","C02",0.359270896
"3","C03",0.37462907
"4","C04",0.062607187
"5","C05",0.339422882
"6","C06",0.371740486
"7","C07",0.420608115
"8","C08",0.274361444
"9","C09",0.959692898
"10","C10",0.130787819
"11","C11",0.287090433
"12","C12",0.287090433
"13","C13",0.287090433
"14","C14",0.42524058
"15","C15",0.452452655
"16","C16",0.642509178
"17","C17",0.999374392
"18","C18",0.419236587
"19","C19",0.419236587
"20","C20",0.32594471
"21","C21",0.332022068
"22","C22",0.660820607
"23","C23",0.201649493
"24","C24",0.201649493
"25","C25",0.201649493
"26","C26",0.201649493
"27","C27",0.201649493
"28","C28",0.201649493
"29","C29",0.201649493
"30","C30",0.201649493
"31","C31",0.201649493
"32","C32",0.201649493
"33","C33",0.201649493
"34","C34",0.201649493
"35","C35",0.201649493
"36","C36",0.201649493
"37","C37",0.201649493
"38","C38",0.201649493
"39","C39",0.201649493
"40","C40",0.201649493
"41","C41",0.201649493
"42","C42",0.201649493
"43","C43",0.201649493
"44","C44",0.201649493
"45","C45",0.201649493
"46","C46",0.201649493
"47","C47",0.201649493
"48","C48",0.201649493
"49","C49",0.201649493
"50","C50",0.201649493
