"","country","value"
"1","AUS",1378942.40421591
"2","AUT",404577.313390421
"3","BEL",499418.213981144
"4","BGR",52378.5750910742
"5","BRA",2258317.04833312
"6","CAN",1692864.33214483
"7","CHE",697286.829260659
"8","CHN",10345202.8747268
"9","CYP",21806.5688013998
"10","CZE",197471.684473513
"11","DEU",3611938.69328244
"12","DNK",315934.148422008
"13","ESP",1299847.63830544
"14","EST",24657.910730398
"15","FIN",247678.74654674
"16","FRA",2643487.57302678
"17","GBR",2800266.49300657
"18","GRC",216164.812958043
"19","HRV",51052.9103390819
"20","HUN",125888.329105375
"21","IDN",876976.424667426
"22","IND",2100569.51056772
"23","IRL",236045.048436159
"24","ITA",1991459.33792126
"25","JPN",4468204.96204915
"26","KOR",1355526.17413665
"27","LTU",45798.4273925591
"28","LUX",60989.0026146698
"29","LVA",28766.8930343368
"30","MEX",1223405.12909229
"31","MLT",9767.70302355333
"32","NLD",825146.212060946
"33","NOR",475880.513353906
"34","POL",510227.622998772
"35","PRT",215095.358162208
"36","ROU",186105.526369796
"37","ROW",10217213.8580367
"38","RUS",1718494.46058183
"39","SVK",96705.6387521733
"40","SVN",45065.1710166689
"41","SWE",532279.86345494
"42","TUR",745661.914732687
"43","TWN",529096.466514693
"44","USA",17382960.3093262
